reimbursement_type_code,meeting_type_code,meeting_type_name,expense_type_code,expense_type_name,issue_code,problem_title,sop_description,standard_handling,legacy_problem_code
EN,0,个人,13,火车,1,火车费用类型错,火车发票系统费用类型应选择“火车”，非“交通费出差”等其他费用类型，需系统驳回修改,已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN001301
EN,0,个人,14,住宿费,1,缺发票or入住账单,根据SOP规定，报销住宿费用需提供发票和酒店入住账单,请根据要求补充提供,EN001401
EN,0,个人,14,住宿费,2,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN001402
EN,0,个人,14,住宿费,3,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN001403
EN,0,个人,14,住宿费,4,缺携程订单or比价单or特批,"根据SOP规定，住宿如是通过携程商旅上预订的，需提供携程订单；未在携程上预订，需要提供当时低
于携程订购价、会议邀请等支持性文件或财务总监审批邮件；",请提供,EN001404
EN,0,个人,15,交通费-出差,1,缺发票or行程,根据SOP规定，交通费-出差需提供当日当地的发票（长途汽车、出租车，公共汽车、地铁等），并提供行程,请提供,EN001501
EN,0,个人,15,交通费-出差,2,缺少行程单,根据SOP规定，交通费-出差报销网约车费用，需提供行程单,请补充上传至HLY评论区,EN001502
EN,0,个人,15,交通费-出差,3,单笔超500问题,根据SOP规定，单次费用超过人民币500元的长距离陆地交通需要使用指定供应商或有营运资质的网约车，并提供详细行程单,请补充提供，无法提供将不予报销,EN001503
EN,0,个人,16,个人汽车里程,1,个人差旅包含HCP费用,个人汽车里程属于个人日常和差旅的费用，系统事由说明与费用定义不一致，不符合个人差旅费用要求,将为您单笔驳回此费用，请根据要求报销,EN001601
EN,0,个人,16,个人汽车里程,2,驻地内个人汽车里程,个人汽车里程的行程显示为驻地内，驻地内因业务产生的燃油费应报销在“月度交通费”，如已报满限额，可选择“交通费-市内”，并提供部门负责人的审批,将为您单笔驳回此费用，请根据要求报销,EN001602
EN,0,个人,17,差旅餐费,1,差旅餐费发票日期问题,差旅餐费需要提供出差当地当日的发票，您提供的发票发票日期与系统填报的实际费用日期不一致,请确认实际费用发生日期，提供正确的发票或小票、付款记录等费用时间证明材料,EN001701
EN,0,个人,17,差旅餐费,2,差旅餐费超标,差旅餐费限额200元/天/人，您当日已报销一笔用餐费用，差旅餐费限额100元，需扣除差额费用,请确认后为您扣除差额费用,EN001702
EN,0,个人,17,差旅餐费,3,差旅餐费超标,差旅餐费限额200元/天/人，您当日已报销两笔用餐费用，差旅餐费限额0元，需扣除差额费用,请确认后为您扣除差额费用,EN001703
EN,0,个人,18,其他差旅费用,1,费用类型错误,根据SOP规定，过路费、退票费等费用需报销在“其他差旅费用”中,已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN001801
EN,0,个人,19,团队建设,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请提供,EN001901
EN,0,个人,19,团队建设,2,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN001902
EN,0,个人,19,团队建设,3,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN001903
EN,0,个人,19,团队建设,4,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN001904
EN,0,个人,20,内部会议/活动,1,缺水单明细（超300）,根据SOP规定，费用≥300元，需提供水单明细,请提供,EN002001
EN,0,个人,20,内部会议/活动,2,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN002002
EN,0,个人,20,内部会议/活动,3,缺会议议程,根据SOP规定，报销内部活动/会议费用需提供会议议程（包括时间、地点、主题等）,请提供符合要求的会议议程,EN002003
EN,0,个人,20,内部会议/活动,4,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002004
EN,0,个人,20,内部会议/活动,5,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002005
EN,0,个人,20,内部会议/活动,6,参会人问题,根据SOP规定，内部活动/会议参与人仅有公司内部员工，您系统填报的参与人不符合要求,请确认,EN002006
EN,0,个人,21,内部会议-礼品/奖品,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN002101
EN,0,个人,21,内部会议-礼品/奖品,2,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002102
EN,0,个人,21,内部会议-礼品/奖品,3,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002103
EN,0,个人,21,内部会议-礼品/奖品,4,缺签收单,根据SOP规定，报销礼品/奖品需提供签收单（包含姓名、品名、单价、数量、总额、签收人签字）,请提供,EN002104
EN,0,个人,21,内部会议-礼品/奖品,5,礼品类别问题,根据SOP规定，礼品或奖品不得包括礼品卡、购物卡等，此笔费用不符合要求，不予报销,请确认后为您扣除此笔费用,EN002105
EN,0,个人,21,内部会议-礼品/奖品,6,礼品金额超标,根据SOP规定，报销礼品/奖品超过该类型下的标准限额，不予报销,请确认后为您扣除此笔费用,EN002106
EN,0,个人,22,早餐,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN002201
EN,0,个人,22,早餐,2,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN002202
EN,0,个人,22,早餐,3,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002203
EN,0,个人,22,早餐,4,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002204
EN,0,个人,22,早餐,5,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,EN002205
EN,0,个人,22,早餐,6,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,EN002206
EN,0,个人,22,早餐,7,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,EN002207
EN,0,个人,23,午餐,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN002301
EN,0,个人,23,午餐,2,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN002302
EN,0,个人,23,午餐,3,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002303
EN,0,个人,23,午餐,4,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002304
EN,0,个人,23,午餐,5,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,EN002305
EN,0,个人,23,午餐,6,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,EN002306
EN,0,个人,23,午餐,7,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,EN002307
EN,0,个人,24,晚餐,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN002401
EN,0,个人,24,晚餐,2,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN002402
EN,0,个人,24,晚餐,3,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002403
EN,0,个人,24,晚餐,4,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002404
EN,0,个人,24,晚餐,5,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,EN002405
EN,0,个人,24,晚餐,6,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,EN002406
EN,0,个人,24,晚餐,7,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,EN002407
EN,0,个人,25,夜宵,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN002501
EN,0,个人,25,夜宵,2,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN002502
EN,0,个人,25,夜宵,3,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002503
EN,0,个人,25,夜宵,4,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002504
EN,0,个人,25,夜宵,5,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,EN002505
EN,0,个人,25,夜宵,6,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,EN002506
EN,0,个人,25,夜宵,7,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,EN002507
EN,0,个人,26,下午茶,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN002601
EN,0,个人,26,下午茶,2,缺少明细（商超）,根据SOP规定，超市、商场或水果市场购买的费用，需要提供明细,请提供,EN002602
EN,0,个人,26,下午茶,3,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002603
EN,0,个人,26,下午茶,4,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002604
EN,0,个人,26,下午茶,5,超人均300元（客户/供应商）,"根据SOP规定，员工为招待第三方客户或供应商支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人的审批。",请提供,EN002605
EN,0,个人,26,下午茶,6,超人均300元（HCP/政府官员）,"根据SOP规定，员工为招待HCP或政府官员支付的餐费，不应超过人均 300 元。如有超过上述标准的特殊情
况，需获得部门负责人和合规部负责人的共同审批。",请提供,EN002606
EN,0,个人,26,下午茶,7,业务招待无内部员工,根据SOP规定，业务招待的参与人需有（内部）+（外部），您的业务招待不符合要求，不予报销,请确认后为您扣除该笔费用,EN002607
EN,0,个人,27,业务招待-礼品,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请将水单原件邮寄至我司，并将水单照片或扫描件补充上传至评论区,EN002701
EN,0,个人,27,业务招待-礼品,2,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002702
EN,0,个人,27,业务招待-礼品,3,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002703
EN,0,个人,27,业务招待-礼品,4,缺签收单,根据SOP规定，报销礼品/奖品需提供签收单（包含姓名、品名、单价、数量、总额、签收人签字）,请提供,EN002704
EN,0,个人,27,业务招待-礼品,5,礼品类别问题,根据SOP规定，礼品或奖品不得包括礼品卡、购物卡等，此笔费用不符合要求，不予报销,请提供,EN002705
EN,0,个人,27,业务招待-礼品,6,缺审批,根据SOP规定，礼品或奖品需提供部门负责人批准邮件,请提供,EN002706
EN,0,个人,28,员工工作手机购机款,1,手机款超标,根据SOP规定，手机购机款报销上限金额为5000元,请确认后为您扣除差额费用,EN002801
EN,0,个人,28,员工工作手机购机款,2,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002802
EN,0,个人,28,员工工作手机购机款,3,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002803
EN,0,个人,28,员工工作手机购机款,4,缺申购单,根据SOP规定，报销购机款系统提供申购单,请提供,EN002804
EN,0,个人,28,员工工作手机购机款,5,购买时间早于申购单,根据SOP规定，购买手机的时间不得早于申购单的审批时间，此笔费用不符合要求，不予报销,请确认后为您扣除该笔费用,EN002805
EN,0,个人,29,小型医学沟通会餐费,1,缺水单明细（超300）,根据SOP规定，该费用≥300元，需提供水单明细,请提供,EN002901
EN,0,个人,29,小型医学沟通会餐费,2,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN002902
EN,0,个人,29,小型医学沟通会餐费,3,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN002903
EN,0,个人,29,小型医学沟通会餐费,4,缺会议议程,根据SOP规定，报销小沟会需提供会议议程（包括时间、地点、主题等）,请提供,EN002904
EN,0,个人,29,小型医学沟通会餐费,5,超人均150元,根据SOP规定，小沟会会议餐费人均不可超过150元，如需全额报销，需提供部门负责人和合规部负责人的共同审批,请提供特批邮件或我们帮您扣除超额部分,EN002905
EN,0,个人,29,小型医学沟通会餐费,6,外部参会人超标,根据SOP规定，小沟会外部参会者不得超过3人,请确认,EN002906
EN,0,个人,29,小型医学沟通会餐费,7,缺餐厅门头照,根据SOP规定，报销会议餐费需提供餐厅门头照,请提供,EN002907
EN,0,个人,29,小型医学沟通会餐费,8,会议餐费形式,根据SOP规定，小沟会会议餐费应为午餐会或晚餐会形式，您报销的餐费内部不符合要求,请解释说明,EN002908
EN,0,个人,30,培训费,1,个人卡支付,根据SOP规定，个人银行卡支付超过300元，需提供付款记录及带有持卡人姓名的个人卡照片或银行对账单,请提供,EN003001
EN,0,个人,30,培训费,2,现金支付,"“微信零钱”、""支付宝花呗”及“京东白条”支付，系统付款类型应选择“现金”非“个人卡”，需驳回修改",已为您系统驳回，请重新提交完成业务审批流程后@通知审核员,EN003002
EN,0,个人,0,通用,1,所属年月,报销单所属年月填写错误,需系统驳回修改,EN000001
EN,0,个人,0,通用,2,纸质材料,已完成线上初审,请打印封面后将报销单邮寄至我司,EN000002
EN,0,个人,0,通用,3,费用逾期,根据SOP规定，报销单需在90天内完成审核，您的报销单已超过90天,如需报销本次将记录逾期，请回复确认,EN000003
MN,1,学术论坛,1,会议讲课费,1,非讲者库讲者,根据SOP规定，报销讲课费的讲者必须是讲者库中的讲者，且不能在会议结束后特批补入库,不符合要求不予支付讲课费,MN010101
MN,1,学术论坛,1,会议讲课费,2,业务约定书不完整,根据SOP规定，业务约定书需完整正确的填写，并由HCP签字后将完整原件邮寄至我司,请提供,MN010102
MN,1,学术论坛,1,会议讲课费,3,讲者人数超标,根据SOP规定，支付讲课费的人数不应超过外部参会总人数的20%,请确认，并告知需扣除讲课费的HCP姓名,MN010103
MN,1,学术论坛,1,会议讲课费,4,主席和点评嘉宾人数超标,根据SOP规定，支付讲课费的主席和点评专家的总数不得超过讲者总数,请确认，并告知需扣除讲课费的HCP姓名,MN010104
MN,1,学术论坛,1,会议讲课费,5,讲者未全程参会,根据SOP规定，支付讲课费的专家需全程参会，并签到,请补充提供签到，不符合要求不予支付讲课费,MN010105
MN,1,学术论坛,1,会议讲课费,6,演讲时长不达标,根据SOP规定，学术论坛讲者讲课时间（包括手术演示、讨论问答）需≥20分钟,不符合要求不予支付讲课费,MN010106
MN,1,学术论坛,1,会议讲课费,7,点评时长不达标,根据SOP规定，学术论坛点评专家限全国级和区域级HCP，且点评时长累计需≥10分钟，,不符合要求不予支付讲课费,MN010107
MN,1,学术论坛,1,会议讲课费,8,点评专家讲课费标准,根据SOP规定，学术论坛点评专家的讲课费支付标准为80%*职级标准,将为您扣除差额,MN010108
MN,1,学术论坛,1,会议讲课费,9,主席参会时长,"根据SOP规定，学术论坛主席限全国级和区域级HCP中主任医师、副主任医师,且原则上应全程参加活动并致辞发言，",不符合要求不予支付讲课费,MN010109
MN,1,学术论坛,0,通用,1,会议权限_学术论坛,根据SOP规定，学术论坛可举办的组织者岗位为地区业务销售经理及以上、市场、医学、临床运营、市场准入和商务，您无权限举办此类型会议,请提供逐级审批至部门负责人的授权邮件并抄送合规,MN010001
MN,1,学术论坛,0,通用,2,会议议程_变更,学会活动变更会议时间、会议地点需提供企业微信变更流程或变更审批邮件,请提供,MN010002
MN,1,学术论坛,0,通用,3,会议议程_不一致,会议议程内容与系统填报的实际会议情况不一致,请确认并提供更新的会议议程,MN010003
MN,1,学术论坛,0,通用,4,会议议程_不完整,会议议程需包含会议日期、会议开展时间、会议地点、会议内容、演讲主题和演讲人,请补充提供,MN010004
MN,1,学术论坛,0,通用,5,会议议程_时长不足,根据SOP规定，学术论坛会议时长需≥ 半天（2-4H）,请确认,MN010005
MN,1,学术论坛,0,通用,6,会议地点_不得跨区,根据SOP规定，原则上若全部参会人来自同一城市，学术活动地点不应跨行政区域，特殊情况需得到上级直属领导事前审批,请提供,MN010006
MN,1,学术论坛,0,通用,7,会议地点_禁止景区,根据SOP规定，禁止在景区名胜或铺张奢侈的地点举办或参加会议,不符合要求不予报销,MN010007
MN,1,学术论坛,0,通用,8,会议地点_禁止场所,根据SOP规定，禁止在水疗会所、温泉、度假、滑雪、高尔夫、赌博、邮轮、洗浴中心、KTV娱乐及以以上为主业的场所举办学术活动或进行业务招待活动,不符合要求不予报销,MN010008
MN,1,学术论坛,0,通用,9,会议签到_系统人数不一致,系统实际内外部参会人数与签到表不一致,请确认实际内外部参会人数，并解释说明,MN010009
MN,1,学术论坛,0,通用,10,会议签到_整场未电子签到,根据SOP规定，整场会议未使用电子签到单需提供逐级审批至部门负责人的审批邮件,请提供,MN010010
MN,1,学术论坛,0,通用,11,会议签到_缺线下签到原件,根据SOP规定，线下签到单原件需邮寄至我司,请将原件邮寄至我司，邮寄后提供快递单号,MN010011
MN,1,学术论坛,0,通用,12,会议签到_线下签到缺审批,根据SOP规定，线下签到表下方的“负责与会医疗专业人士的内部员工签字（确认以上签字及备注属实）”和“直线经理签字（确认以上签字及代表说明复核公司要求）”需相应负责人签字,将为您寄回线下签到表，请补充签字后原件寄回我司,MN010012
MN,1,学术论坛,0,通用,13,会议照片_缺水印,根据SOP规定，会议照片需使用水印相机拍摄活动现场照片，并注明活动时间、活动地点、活动主题,请补充提供，如不符合要求将不予报销,MN010013
MN,1,学术论坛,0,通用,14,会议照片_缺会议主题,根据SOP规定，会议照片需体现并反映会议主题（如PPT标题、横幅、易拉宝等），且照片中的会议主题需清洗,请补充提供，如不符合要求将不予报销,MN010014
MN,1,学术论坛,0,通用,15,会议照片_缺付费讲者,根据SOP规定，付费讲者需提供正面清晰演讲照片，照片应体现付费讲者和一张会议幻灯稿同框的场景，要求可识别付费讲者并能体现所参加会议,请补充提供，如不符合要求将不予报销,MN010015
MN,1,学术论坛,0,通用,16,会议照片_水印与议程不一致,根据SOP规定，会议照片水印所反映拍摄时间与会议议程相一致,请补充提供，如不符合要求将不予报销,MN010016
MN,1,学术论坛,0,通用,17,会议照片_人数标准不符,根据SOP规定，学术论坛会议照片需显示50%及以上参会人员（内+外）,请补充提供，如不符合要求将不予报销,MN010017
